TIC,split,sector,camera,ccd,detector_x,detector_y,physics_nll,instrument_nll,physics_percentile,instrument_percentile,physics_rank,instrument_rank,physics_rank_all,instrument_rank_all,classification,physics_umap_1,physics_umap_2,instrument_umap_1,instrument_umap_2
261257526,train,1,4,2,2050.728600202049,67.6489540643395,217.5183,190.58922,0.49625,0.46,,,525,501,typical,-1.4482565,9.880826,-2.3842728,7.8885856
261260175,train,1,4,2,2055.971290228932,75.48151066669746,145.25801,159.67221,0.055,0.34125,,,949,624,typical,-1.8152227,9.240049,-2.4255502,7.7726917
261260162,train,1,4,2,2049.368871116091,79.66432637434835,163.34427,146.42807,0.13875,0.28125,,,871,686,typical,-1.8242207,9.29195,-2.489669,7.7598796
261257511,train,1,4,2,2039.0415101387257,70.30450568212956,247.34827,167.20561,0.66625,0.37875,,,356,587,typical,3.905538,5.207385,-2.387487,7.2258096
261239073,train,1,4,2,2034.616694193716,67.54245113942639,287.58255,249.0006,0.8325,0.7375,,,192,242,typical,0.92746925,10.25531,-2.4122403,7.2185917
261257495,train,1,4,2,2031.2396003357428,76.16169055882123,332.49936,210.30374,0.91375,0.58375,,,97,389,typical,-2.5150077,9.833876,-2.734853,7.220517
261239088,train,1,4,2,2037.7890524101413,59.95437927461679,1451.6149,177.50362,1.0,0.4125,,,1,552,physics,4.505986,6.010844,-2.3992386,7.242873
261236426,train,1,4,2,2029.710385308482,53.55097072662051,332.1449,255.00937,0.91125,0.77125,,,99,210,typical,-2.4739754,9.834772,-2.562643,7.466315
261239082,train,1,4,2,2031.9724368129664,56.89416326596088,236.28033,219.38193,0.60875,0.625,,,412,351,typical,-2.3469303,9.780923,-2.379862,7.2356625
261239081,train,1,4,2,2030.5989346610404,56.32565004049467,244.03403,247.33096,0.65375,0.72875,,,367,249,typical,-2.362717,9.771172,-2.3631191,7.273584
261239083,train,1,4,2,2037.4707268534387,62.3132867426643,399.16785,205.50215,0.9575,0.5525,,,40,417,physics,4.4262295,5.786298,-2.3835955,7.2706513
261236413,train,1,4,2,2025.9692174136787,58.23574812092738,188.68883,310.06918,0.3125,0.89125,,,709,96,typical,-2.209604,9.705481,-2.6330824,7.4073896
261239067,train,1,4,2,2024.020367391116,62.59633067281076,262.2869,272.1088,0.74125,0.82125,,,284,158,typical,-2.3191276,9.907612,-2.462375,8.109444
261236409,train,1,4,2,2020.011134802713,54.46572770911164,166.54974,187.62329,0.1625,0.445,,,850,518,typical,-1.6827303,9.861906,-2.4453564,7.9496317
261236408,train,1,4,2,2016.686842528031,50.918571515101725,287.83255,157.9404,0.83375,0.3325,,,190,633,typical,5.868356,8.894412,-2.3950753,8.024449
261236391,train,1,4,2,2018.6800914028909,63.25863002168763,172.16452,226.57051,0.205,0.6625,,,811,317,typical,-1.5507071,9.892285,-2.442882,8.091414
