TIC,split,sector,camera,ccd,detector_x,detector_y,valid_cadences,physics_umap_1,physics_umap_2,instrument_umap_1,instrument_umap_2
261257426,train,1,4,2,2001.5066523276405,110.07676320226166,960,7.8051996,5.639275,0.13549057,4.266164
261257423,train,1,4,2,2003.0954543921434,113.9759261081778,960,7.972769,5.5965223,0.26483035,4.1288805
261260059,train,1,4,2,2008.7654237383463,124.58293929338068,960,-0.19784155,6.913813,0.92311835,3.7355072
261260056,train,1,4,2,2006.6070086788986,123.94992234251819,960,7.9442806,5.6058083,0.9738868,3.679975
261260047,train,1,4,2,2001.0207092173637,123.35757316894532,960,8.088469,5.89881,1.0032144,3.6165478
261260034,train,1,4,2,2002.6211606953925,131.95726645175841,960,8.419175,5.7322264,1.073927,3.506172
261257397,train,1,4,2,1992.2451547626808,129.5756803545153,960,8.450203,5.3749475,1.1569964,3.3538127
261257380,train,1,4,2,1980.8438275898748,128.4818676205894,960,8.856824,5.2369847,1.3281562,3.113135
261238927,train,1,4,2,1976.2632214797918,111.33226013770992,960,8.597261,5.8380647,1.1492789,3.0516057
261236275,train,1,4,2,1968.4028725753406,101.67487085143159,960,8.812816,6.473412,1.0185008,2.9288898
261238900,train,1,4,2,1966.651757072878,122.79546349852238,960,10.740617,4.806927,1.9831177,2.2087438
261238884,train,1,4,2,1955.4037464489024,127.11795925291368,960,4.5302887,4.9013658,2.6241226,0.9523759
261238888,train,1,4,2,1958.7986095432707,126.68049087774305,960,11.467078,5.0015535,2.6420486,0.9429078
261236249,train,1,4,2,1957.1080512401409,114.89816575405692,960,10.784455,4.8168254,2.0462441,2.0181231
261236228,train,1,4,2,1945.4154411699433,117.43366900363102,960,7.2455897,5.2902484,3.5122843,2.799153
261206741,train,1,4,2,1989.336628623151,73.8782725382722,960,7.0858555,6.23965,-1.845147,5.6200895
261206724,train,1,4,2,1978.1714805261277,73.57993716007388,960,8.269709,7.5332417,-0.8014253,3.9978797
261206722,train,1,4,2,1975.9632674028855,72.51787067050869,960,7.935101,7.2481766,-0.8135332,4.013755
261206711,train,1,4,2,1972.674111138405,76.68883243156773,960,7.351395,6.370373,-0.86988884,3.8556433
261206715,train,1,4,2,1979.1869232380548,79.93823064593829,960,7.2503057,6.363378,-0.7906029,3.9455326
261206703,train,1,4,2,1973.931321325262,81.17263920243117,960,8.329288,7.4949083,-0.55546516,3.9150572
261206695,train,1,4,2,1967.6946085260522,81.50247696330906,960,8.510502,6.996595,-0.5586303,3.2085629
