row,TIC,split,sector,camera,ccd,detector_x,detector_y,moment_nll,moment_percentile,moment_anomaly,physics_nll,instrument_nll,physics_percentile,instrument_percentile,classification
1920,261257185,train,1,4,2,1910.6057891256592,198.84321914784948,1002.9926,0.915,False,236.54959,161.14957,0.615,0.34875,typical
1926,261257162,train,1,4,2,1901.5398425184244,206.2922994338713,344.4215,0.52625,False,255.16414,276.27643,0.7025,0.82875,typical
1928,261257165,train,1,4,2,1899.5178514704176,202.04535714357138,295.4339,0.41875,False,210.11006,264.78116,0.45,0.795,typical
1930,261238733,train,1,4,2,1907.936111127217,186.11255765962414,386.6564,0.58375,False,217.2318,217.05902,0.495,0.6125,typical
1932,261238745,train,1,4,2,1908.8029121794807,180.1457893753638,971.82623,0.90625,False,218.57695,194.05942,0.50625,0.47625,typical
1934,261238728,train,1,4,2,1904.1051621956956,183.72569357252146,565.9281,0.79,False,211.0025,211.95229,0.455,0.59125,typical
1939,261238720,train,1,4,2,1898.0835590805718,184.48871531349624,347.94452,0.53375,False,279.39505,253.16399,0.8025,0.76375,typical
1940,261238710,train,1,4,2,1895.0265960910158,186.76550343185073,610.49036,0.81625,False,251.1804,207.91707,0.6875,0.56375,typical
1942,261238723,train,1,4,2,1897.7067994381814,181.82891291440885,1229.729,0.96,True,215.98604,221.16302,0.4825,0.6375,typical
1946,261236044,train,1,4,2,1883.2584384382637,181.36500565137698,1347.8192,0.9725,True,352.391,124.264404,0.9375,0.18625,typical
1947,261238709,train,1,4,2,1901.0580100383079,194.36379862648914,434.71835,0.655,False,267.91693,248.81723,0.76125,0.735,typical
1948,261238707,train,1,4,2,1893.4866632367127,192.15261668602608,392.50854,0.59375,False,280.34985,222.19148,0.805,0.64625,typical
1950,261238695,train,1,4,2,1888.2741501511462,196.4961615704368,414.80347,0.625,False,215.47128,210.04271,0.475,0.58125,typical
1954,261238687,train,1,4,2,1888.724610056197,203.51921899673187,455.70364,0.68375,False,201.48405,245.10204,0.395,0.72375,typical
1955,261238691,train,1,4,2,1888.288024411366,199.898767499666,580.0435,0.79625,False,175.50682,190.92119,0.22375,0.46375,typical
1957,261238680,train,1,4,2,1881.6281029914571,199.10247987381072,1183.4393,0.94875,False,227.52103,219.51277,0.555,0.62625,typical
1958,261238681,train,1,4,2,1882.3133717632004,199.79686102006983,1112.1567,0.9375,False,261.7549,267.5685,0.735,0.80625,typical
1964,261238673,train,1,4,2,1879.0806392028048,198.51049028377497,537.8407,0.77375,False,218.33896,138.70253,0.50375,0.24625,typical
1965,261236014,train,1,4,2,1876.1277490303764,196.38671785648066,155.6182,0.0975,False,224.67809,158.11626,0.5375,0.33375,typical
1969,261259775,train,1,4,2,1918.7295381633467,213.86821019559315,567.7222,0.79125,False,273.3018,156.86575,0.7875,0.3275,typical
1971,261259765,train,1,4,2,1912.444812542867,211.581667945498,871.0157,0.88125,False,257.83734,150.01685,0.7225,0.295,typical
1976,261259740,train,1,4,2,1901.5388703676774,222.2086431136726,972.5826,0.9075,False,153.17651,268.06876,0.0875,0.8075,typical
1980,261257157,train,1,4,2,1899.874347648784,207.77289621600042,246.7581,0.31375,False,211.3411,253.6717,0.45875,0.765,typical
1983,261257150,train,1,4,2,1892.6017230734124,208.66584058600327,272.6844,0.36375,False,185.6736,329.20636,0.29375,0.905,typical
1985,261257132,train,1,4,2,1890.4516057146438,219.52066240548734,297.66476,0.4275,False,177.78766,260.95963,0.24125,0.78875,typical
4,261257633,val,1,4,2,2084.047021379247,25.733490690199776,539.53687,0.775,False,241.84387,267.99887,0.6425,0.80625,typical
13,261236559,val,1,4,2,2070.9741363494413,2.69714942997367,631.21814,0.82625,False,305.64337,228.89648,0.87,0.67,typical
24,261236522,val,1,4,2,2065.750388710865,22.912803149885256,557.454,0.78375,False,205.65247,236.51369,0.4225,0.6975,typical
28,261236529,val,1,4,2,2061.9102971778993,13.207875755948344,564.96545,0.78875,False,192.455,161.79684,0.33,0.34875,typical
35,261236515,val,1,4,2,2058.634205819572,18.885643664324185,532.6546,0.76375,False,219.15326,94.28549,0.50875,0.08125,typical
38,261236512,val,1,4,2,2056.385425489136,17.537040043311922,389.34552,0.59,False,294.45905,148.88914,0.8475,0.28875,typical
89,261260243,val,1,4,2,2084.6309168003518,43.245799923001485,626.7207,0.82375,False,273.22046,222.03697,0.78625,0.645,typical
112,261260219,val,1,4,2,2079.4142373561785,57.659367397715044,265.81577,0.35,False,261.69434,115.23285,0.73375,0.1575,typical
166,261206832,val,1,4,2,2036.427816439916,32.489488712599496,364.1605,0.55375,False,325.88397,64.32088,0.90625,0.02,typical
207,261257494,val,1,4,2,2037.498654378329,82.93651855250818,148.8437,0.085,False,179.09763,233.61728,0.25125,0.6825,typical
222,261236416,val,1,4,2,2027.3670133070218,58.46925957320365,123.66655,0.0275,False,253.40607,173.40555,0.68875,0.3975,typical
226,261236410,val,1,4,2,2018.4811525133719,51.30406226426202,338.53024,0.52375,False,338.94022,177.98401,0.92125,0.41375,typical
246,261236366,val,1,4,2,2010.763742715673,72.88345503643113,430.99484,0.64625,False,385.71762,310.6147,0.95125,0.8925,physics
291,261204361,val,1,4,2,1998.4736063485764,43.35170897764654,165.29025,0.12125,False,152.66481,79.45754,0.08625,0.05,typical
299,261156542,val,1,4,2,2003.195265354872,18.91871944884612,211.82996,0.23125,False,152.81152,41.132835,0.08625,0.0,typical
323,261156485,val,1,4,2,1976.120462938807,34.57467779232931,277.56854,0.375,False,177.69122,174.65242,0.23875,0.4,typical
334,392025971,val,1,4,2,1958.8058663230956,33.678392885130606,247.99506,0.3175,False,264.1438,141.0449,0.7475,0.25375,typical
